surface,rooms,baths,ville,quartier,log_surface,surface_per_room,bath_room_ratio,surface_x_rooms
35,1,1,16,32,3.58351893845611,17.5,0.5,35
47,1,2,16,12,3.871201010907891,23.5,1.0,47
134,3,2,29,34,4.90527477843843,33.5,0.5,402
80,3,1,17,83,4.394449154672439,20.0,0.25,240
70,2,1,4,83,4.2626798770413155,23.333333333333332,0.3333333333333333,140
233,4,4,22,41,5.455321115357702,46.6,0.8,932
60,2,1,28,11,4.110873864173311,20.0,0.3333333333333333,120
149,3,2,8,17,5.0106352940962555,37.25,0.5,447
94,2,2,13,73,4.553876891600541,31.333333333333332,0.6666666666666666,188
50,2,1,8,60,3.9318256327243257,16.666666666666668,0.3333333333333333,100
126,3,2,8,85,4.844187086458591,31.5,0.5,378
64,2,1,28,11,4.174387269895637,21.333333333333332,0.3333333333333333,128
95,2,2,8,6,4.564348191467836,31.666666666666668,0.6666666666666666,190
113,2,1,16,54,4.736198448394496,37.666666666666664,0.3333333333333333,226
75,3,2,11,24,4.330733340286331,18.75,0.5,225
230,4,2,29,88,5.442417710521793,46.0,0.4,920
75,2,2,16,38,4.330733340286331,25.0,0.6666666666666666,150
136,3,2,8,85,4.919980925828125,34.0,0.5,408
114,3,2,3,11,4.74493212836325,28.5,0.5,342
114,3,2,8,11,4.74493212836325,28.5,0.5,342
129,2,2,8,85,4.867534450455582,43.0,0.6666666666666666,258
95,2,2,8,16,4.564348191467836,31.666666666666668,0.6666666666666666,190
100,2,1,8,15,4.61512051684126,33.333333333333336,0.3333333333333333,200
83,3,2,8,6,4.430816798843313,20.75,0.5,249
102,2,3,0,30,4.634728988229636,34.0,1.0,204
76,2,1,8,20,4.343805421853684,25.333333333333332,0.3333333333333333,152
144,3,2,9,83,4.976733742420574,36.0,0.5,432
146,3,2,6,11,4.990432586778736,36.5,0.5,438
105,4,1,0,13,4.663439094112067,21.0,0.2,420
60,1,1,16,32,4.110873864173311,30.0,0.5,60
75,3,1,0,39,4.330733340286331,18.75,0.25,225
196,2,1,28,81,5.2832037287379885,65.33333333333333,0.3333333333333333,392
68,2,1,8,49,4.23410650459726,22.666666666666668,0.3333333333333333,136
80,2,2,13,73,4.394449154672439,26.666666666666668,0.6666666666666666,160
70,1,2,16,67,4.2626798770413155,35.0,1.0,70
136,3,2,16,86,4.919980925828125,34.0,0.5,408
93,3,2,23,71,4.543294782270004,23.25,0.5,279
148,3,2,8,14,5.003946305945459,37.0,0.5,444
68,2,2,8,55,4.23410650459726,22.666666666666668,0.6666666666666666,136
59,2,2,8,6,4.0943445622221,19.666666666666668,0.6666666666666666,118
66,2,2,9,83,4.204692619390966,22.0,0.6666666666666666,132
85,2,2,8,0,4.454347296253507,28.333333333333332,0.6666666666666666,170
100,2,2,28,51,4.61512051684126,33.333333333333336,0.6666666666666666,200
100,3,2,16,72,4.61512051684126,25.0,0.5,300
66,3,1,20,11,4.204692619390966,16.5,0.25,198
70,2,2,13,19,4.2626798770413155,23.333333333333332,0.6666666666666666,140
106,2,1,8,46,4.672828834461906,35.333333333333336,0.3333333333333333,212
70,3,1,8,49,4.2626798770413155,17.5,0.25,210
155,2,3,28,11,5.049856007249537,51.666666666666664,1.0,310
144,3,1,8,65,4.976733742420574,36.0,0.25,432
54,1,1,8,62,4.007333185232471,27.0,0.5,54
105,3,2,8,75,4.663439094112067,26.25,0.5,315
66,2,1,8,8,4.204692619390966,22.0,0.3333333333333333,132
76,2,2,16,86,4.343805421853684,25.333333333333332,0.6666666666666666,152
118,3,1,8,49,4.77912349311153,29.5,0.25,354
79,3,1,8,14,4.382026634673881,19.75,0.25,237
60,1,1,16,32,4.110873864173311,30.0,0.5,60
52,2,1,0,39,3.970291913552122,17.333333333333332,0.3333333333333333,104
61,1,1,16,32,4.127134385045092,30.5,0.5,61
112,3,1,16,48,4.727387818712341,28.0,0.25,336
96,2,2,0,39,4.574710978503383,32.0,0.6666666666666666,192
63,2,1,0,39,4.1588830833596715,21.0,0.3333333333333333,126
159,3,3,8,0,5.075173815233827,39.75,0.75,477
256,3,3,28,1,5.54907608489522,64.0,0.75,768
97,2,2,23,71,4.584967478670572,32.333333333333336,0.6666666666666666,194
200,3,3,8,84,5.303304908059076,50.0,0.75,600
96,2,1,29,11,4.574710978503383,32.0,0.3333333333333333,192
97,3,2,28,4,4.584967478670572,24.25,0.5,291
129,3,2,8,0,4.867534450455582,32.25,0.5,387
75,2,1,8,6,4.330733340286331,25.0,0.3333333333333333,150
88,3,1,29,5,4.48863636973214,22.0,0.25,264
102,4,2,28,81,4.634728988229636,20.4,0.4,408
92,2,2,18,27,4.532599493153256,30.666666666666668,0.6666666666666666,184
50,1,1,16,86,3.9318256327243257,25.0,0.5,50
87,3,2,8,75,4.477336814478207,21.75,0.5,261
227,4,2,15,83,5.429345628954441,45.4,0.4,908
90,2,1,13,57,4.51085950651685,30.0,0.3333333333333333,180
95,2,1,16,68,4.564348191467836,31.666666666666668,0.3333333333333333,190
100,2,2,28,24,4.61512051684126,33.333333333333336,0.6666666666666666,200
150,3,2,30,24,5.017279836814924,37.5,0.5,450
197,4,1,8,49,5.288267030694535,39.4,0.2,788
91,2,2,19,11,4.5217885770490405,30.333333333333332,0.6666666666666666,182
140,2,2,8,46,4.948759890378168,46.666666666666664,0.6666666666666666,280
107,2,2,16,82,4.68213122712422,35.666666666666664,0.6666666666666666,214
128,3,1,29,11,4.859812404361672,32.0,0.25,384
50,2,1,16,45,3.9318256327243257,16.666666666666668,0.3333333333333333,100
61,1,1,16,12,4.127134385045092,30.5,0.5,61
70,2,1,28,37,4.2626798770413155,23.333333333333332,0.3333333333333333,140
90,3,1,13,73,4.51085950651685,22.5,0.25,270
64,2,1,24,83,4.174387269895637,21.333333333333332,0.3333333333333333,128
64,3,2,16,50,4.174387269895637,16.0,0.5,192
87,2,2,8,74,4.477336814478207,29.0,0.6666666666666666,174
51,1,1,16,43,3.9512437185814275,25.5,0.5,51
67,2,1,8,11,4.219507705176107,22.333333333333332,0.3333333333333333,134
147,4,3,8,39,4.997212273764115,29.4,0.6,588
42,1,1,8,49,3.7612001156935624,21.0,0.5,42
80,3,2,10,36,4.394449154672439,20.0,0.5,240
150,3,2,22,11,5.017279836814924,37.5,0.5,450
117,3,1,8,63,4.770684624465665,29.25,0.25,351
62,1,1,11,24,4.143134726391533,31.0,0.5,62
56,2,1,23,83,4.04305126783455,18.666666666666668,0.3333333333333333,112
78,2,2,8,37,4.3694478524670215,26.0,0.6666666666666666,156
53,2,1,20,42,3.9889840465642745,17.666666666666668,0.3333333333333333,106
90,3,1,21,83,4.51085950651685,22.5,0.25,270
95,3,2,16,50,4.564348191467836,23.75,0.5,285
121,3,2,6,11,4.804021044733257,30.25,0.5,363
53,1,1,8,66,3.9889840465642745,26.5,0.5,53
52,2,1,8,6,3.970291913552122,17.333333333333332,0.3333333333333333,104
112,3,1,8,14,4.727387818712341,28.0,0.25,336
54,2,1,8,60,4.007333185232471,18.0,0.3333333333333333,108
110,2,2,16,32,4.709530201312334,36.666666666666664,0.6666666666666666,220
60,2,1,16,48,4.110873864173311,20.0,0.3333333333333333,120
176,4,2,28,2,5.176149732573829,35.2,0.4,704
69,2,1,16,38,4.248495242049359,23.0,0.3333333333333333,138
75,2,1,29,11,4.330733340286331,25.0,0.3333333333333333,150
109,2,2,8,49,4.700480365792417,36.333333333333336,0.6666666666666666,218
50,2,1,8,29,3.9318256327243257,16.666666666666668,0.3333333333333333,100
110,2,2,16,32,4.709530201312334,36.666666666666664,0.6666666666666666,220
109,2,1,16,72,4.700480365792417,36.333333333333336,0.3333333333333333,218
100,3,2,8,75,4.61512051684126,25.0,0.5,300
92,2,2,2,83,4.532599493153256,30.666666666666668,0.6666666666666666,184
81,2,2,8,14,4.406719247264253,27.0,0.6666666666666666,162
56,2,1,6,11,4.04305126783455,18.666666666666668,0.3333333333333333,112
98,3,2,8,74,4.59511985013459,24.5,0.5,294
126,2,2,16,48,4.844187086458591,42.0,0.6666666666666666,252
95,3,2,13,19,4.564348191467836,23.75,0.5,285
70,2,1,23,70,4.2626798770413155,23.333333333333332,0.3333333333333333,140
67,2,1,8,11,4.219507705176107,22.333333333333332,0.3333333333333333,134
200,3,2,18,33,5.303304908059076,50.0,0.5,600
103,3,1,8,47,4.6443908991413725,25.75,0.25,309
98,2,2,16,82,4.59511985013459,32.666666666666664,0.6666666666666666,196
274,4,3,8,63,5.616771097666572,54.8,0.6,1096
67,2,1,28,11,4.219507705176107,22.333333333333332,0.3333333333333333,134
45,1,1,16,32,3.828641396489095,22.5,0.5,45
146,3,3,8,9,4.990432586778736,36.5,0.75,438
117,3,2,8,21,4.770684624465665,29.25,0.5,351
93,2,1,16,35,4.543294782270004,31.0,0.3333333333333333,186
118,2,1,28,81,4.77912349311153,39.333333333333336,0.3333333333333333,236
147,2,2,30,69,4.997212273764115,49.0,0.6666666666666666,294
65,2,1,17,83,4.189654742026425,21.666666666666668,0.3333333333333333,130
71,2,1,8,9,4.276666119016055,23.666666666666668,0.3333333333333333,142
70,2,1,10,11,4.2626798770413155,23.333333333333332,0.3333333333333333,140
80,2,2,0,79,4.394449154672439,26.666666666666668,0.6666666666666666,160
81,2,1,8,76,4.406719247264253,27.0,0.3333333333333333,162
78,2,2,8,60,4.3694478524670215,26.0,0.6666666666666666,156
155,2,3,8,52,5.049856007249537,51.666666666666664,1.0,310
84,2,2,16,11,4.442651256490317,28.0,0.6666666666666666,168
53,2,1,8,18,3.9889840465642745,17.666666666666668,0.3333333333333333,106
62,1,1,8,22,4.143134726391533,31.0,0.5,62
67,2,1,8,11,4.219507705176107,22.333333333333332,0.3333333333333333,134
120,4,2,29,11,4.795790545596741,24.0,0.4,480
95,2,2,16,61,4.564348191467836,31.666666666666668,0.6666666666666666,190
71,3,2,16,48,4.276666119016055,17.75,0.5,213
75,2,1,11,24,4.330733340286331,25.0,0.3333333333333333,150
68,2,1,13,73,4.23410650459726,22.666666666666668,0.3333333333333333,136
74,2,1,8,9,4.31748811353631,24.666666666666668,0.3333333333333333,148
80,2,2,8,0,4.394449154672439,26.666666666666668,0.6666666666666666,160
156,3,2,8,0,5.056245805348308,39.0,0.5,468
137,3,2,16,32,4.927253685157205,34.25,0.5,411
85,2,2,8,75,4.454347296253507,28.333333333333332,0.6666666666666666,170
148,4,2,30,11,5.003946305945459,29.6,0.4,592
33,1,1,8,62,3.5263605246161616,16.5,0.5,33
67,2,1,8,6,4.219507705176107,22.333333333333332,0.3333333333333333,134
143,3,2,8,21,4.969813299576001,35.75,0.5,429
115,3,1,18,89,4.7535901911063645,28.75,0.25,345
144,2,2,8,21,4.976733742420574,48.0,0.6666666666666666,288
171,3,2,22,78,5.147494476813453,42.75,0.5,513
79,3,2,8,6,4.382026634673881,19.75,0.5,237
76,2,1,28,81,4.343805421853684,25.333333333333332,0.3333333333333333,152
82,2,1,28,51,4.418840607796598,27.333333333333332,0.3333333333333333,164
84,3,2,7,83,4.442651256490317,21.0,0.5,252
260,3,2,8,20,5.564520407322694,65.0,0.5,780
68,2,1,13,19,4.23410650459726,22.666666666666668,0.3333333333333333,136
104,3,1,0,24,4.653960350157523,26.0,0.25,312
132,3,2,9,83,4.890349128221754,33.0,0.5,396
162,3,3,8,49,5.093750200806762,40.5,0.75,486
140,3,2,8,62,4.948759890378168,35.0,0.5,420
60,2,1,8,40,4.110873864173311,20.0,0.3333333333333333,120
55,2,1,0,28,4.02535169073515,18.333333333333332,0.3333333333333333,110
79,2,1,28,26,4.382026634673881,26.333333333333332,0.3333333333333333,158
96,2,2,10,11,4.574710978503383,32.0,0.6666666666666666,192
56,1,1,16,32,4.04305126783455,28.0,0.5,56
62,1,1,8,49,4.143134726391533,31.0,0.5,62
76,3,2,25,83,4.343805421853684,19.0,0.5,228
53,1,1,16,32,3.9889840465642745,26.5,0.5,53
70,2,1,13,19,4.2626798770413155,23.333333333333332,0.3333333333333333,140
174,3,2,8,56,5.1647859739235145,43.5,0.5,522
110,2,1,28,23,4.709530201312334,36.666666666666664,0.3333333333333333,220
60,2,2,14,83,4.110873864173311,20.0,0.6666666666666666,120
64,3,2,18,11,4.174387269895637,16.0,0.5,192
110,3,2,13,57,4.709530201312334,27.5,0.5,330
65,1,1,16,32,4.189654742026425,32.5,0.5,65
51,2,1,8,60,3.9512437185814275,17.0,0.3333333333333333,102
76,2,1,6,11,4.343805421853684,25.333333333333332,0.3333333333333333,152
90,2,2,18,27,4.51085950651685,30.0,0.6666666666666666,180
165,2,2,28,11,5.111987788356544,55.0,0.6666666666666666,330
87,2,2,29,88,4.477336814478207,29.0,0.6666666666666666,174
329,3,3,12,25,5.799092654460526,82.25,0.75,987
109,2,2,3,11,4.700480365792417,36.333333333333336,0.6666666666666666,218
126,3,1,28,44,4.844187086458591,31.5,0.25,378
51,1,1,8,31,3.9512437185814275,25.5,0.5,51
84,2,2,16,67,4.442651256490317,28.0,0.6666666666666666,168
110,3,2,8,74,4.709530201312334,27.5,0.5,330
136,3,3,29,34,4.919980925828125,34.0,0.75,408
1,1,1,16,32,0.6931471805599453,0.5,0.5,1
87,2,1,8,15,4.477336814478207,29.0,0.3333333333333333,174
2,2,1,17,83,1.0986122886681098,0.6666666666666666,0.3333333333333333,4
74,2,2,8,75,4.31748811353631,24.666666666666668,0.6666666666666666,148
90,3,1,13,19,4.51085950651685,22.5,0.25,270
133,3,1,28,53,4.897839799950911,33.25,0.25,399
113,3,1,8,20,4.736198448394496,28.25,0.25,339
110,2,1,20,3,4.709530201312334,36.666666666666664,0.3333333333333333,220
204,2,2,8,52,5.3230099791384085,68.0,0.6666666666666666,408
140,2,1,28,90,4.948759890378168,46.666666666666664,0.3333333333333333,280
66,3,1,13,59,4.204692619390966,16.5,0.25,198
126,3,1,3,11,4.844187086458591,31.5,0.25,378
70,3,1,17,83,4.2626798770413155,17.5,0.25,210
118,3,2,8,58,4.77912349311153,29.5,0.5,354
72,2,2,28,80,4.290459441148391,24.0,0.6666666666666666,144
146,3,3,8,55,4.990432586778736,36.5,0.75,438
84,2,2,28,11,4.442651256490317,28.0,0.6666666666666666,168
60,1,1,0,10,4.110873864173311,30.0,0.5,60
124,3,2,28,24,4.8283137373023015,31.0,0.5,372
92,2,1,10,7,4.532599493153256,30.666666666666668,0.3333333333333333,184
109,3,2,23,71,4.700480365792417,27.25,0.5,327
104,2,2,19,64,4.653960350157523,34.666666666666664,0.6666666666666666,208
113,3,2,1,83,4.736198448394496,28.25,0.5,339
72,2,1,8,75,4.290459441148391,24.0,0.3333333333333333,144
61,2,2,0,28,4.127134385045092,20.333333333333332,0.6666666666666666,122
189,3,2,8,24,5.247024072160486,47.25,0.5,567
64,2,1,16,38,4.174387269895637,21.333333333333332,0.3333333333333333,128
70,3,2,8,11,4.2626798770413155,17.5,0.5,210
85,2,1,25,83,4.454347296253507,28.333333333333332,0.3333333333333333,170
64,2,1,8,37,4.174387269895637,21.333333333333332,0.3333333333333333,128
140,3,2,5,87,4.948759890378168,35.0,0.5,420
115,3,2,5,87,4.7535901911063645,28.75,0.5,345
64,2,1,16,11,4.174387269895637,21.333333333333332,0.3333333333333333,128
99,1,2,0,79,4.605170185988092,49.5,1.0,99
121,3,2,8,46,4.804021044733257,30.25,0.5,363
73,2,1,29,77,4.30406509320417,24.333333333333332,0.3333333333333333,146
80,2,2,16,50,4.394449154672439,26.666666666666668,0.6666666666666666,160
140,3,1,28,2,4.948759890378168,35.0,0.25,420
74,2,1,28,81,4.31748811353631,24.666666666666668,0.3333333333333333,148
50,1,1,27,83,3.9318256327243257,25.0,0.5,50
51,1,1,16,32,3.9512437185814275,25.5,0.5,51
118,3,2,8,75,4.77912349311153,29.5,0.5,354
86,2,1,28,11,4.465908118654584,28.666666666666668,0.3333333333333333,172
69,3,1,8,14,4.248495242049359,17.25,0.25,207
250,5,3,8,17,5.5254529391317835,41.666666666666664,0.5,1250
111,2,2,16,32,4.718498871295094,37.0,0.6666666666666666,222
73,3,2,8,60,4.30406509320417,18.25,0.5,219
132,3,3,8,65,4.890349128221754,33.0,0.75,396
117,3,3,16,32,4.770684624465665,29.25,0.75,351
117,2,1,26,83,4.770684624465665,39.0,0.3333333333333333,234
61,1,1,16,32,4.127134385045092,30.5,0.5,61
